Platform,Region,Instance,On.Demand_Hour,No.UP.1Y_Month,Part.UP.1Y_UP,Part.UP.1Y_Month,All.UP.1Y_UP,Part.UP.3Y_UP,Part.UP.3Y_Month,All.UP.3Y_UP
SLES,Asia Pacific (Sydney),c1.medium,$0.164 per Hour,89.06,443,40.15,906,669,35.77,1839
Windows,Asia Pacific (Sydney),m1.small,$0.058 per Hour,28.47,135,13.14,286,212,10.22,545
RHEL,Asia Pacific (Sydney),m2.4xlarge,$1.183 per Hour,432.16,1970,208.78,4385,2954,166.44,8409
Windows,Asia Pacific (Sydney),m1.large,$0.233 per Hour,113.88,539,50.37,1120,847,40.15,2154
SLES,Asia Pacific (Sydney),m1.xlarge,$0.467 per Hour,227.76,1079,101.47,2250,1694,80.3,4309
RHEL,Asia Pacific (Sydney),m2.xlarge,$0.296 per Hour,108.04,493,51.83,1092,739,41.61,2102
SLES,Asia Pacific (Sydney),m2.2xlarge,$0.592 per Hour,216.08,985,104.39,2192,1477,83.22,4204
Windows with SQL Standard,Asia Pacific (Sydney),m1.large,$0.233 per Hour,113.88,539,50.37,1120,847,40.15,2154
SLES,Asia Pacific (Sydney),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
Windows with SQL Web,Asia Pacific (Sydney),m1.xlarge,$0.467 per Hour,227.76,1079,101.47,2250,1694,80.3,4309
Linux,Asia Pacific (Sydney),m1.medium,$0.117 per Hour,56.94,270,25.55,565,423,20.44,1089
SLES,Asia Pacific (Sydney),m2.4xlarge,$1.183 per Hour,432.16,1970,208.78,4385,2954,166.44,8409
RHEL,Asia Pacific (Sydney),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
Windows with SQL Web,Asia Pacific (Sydney),m2.xlarge,$0.296 per Hour,108.04,493,51.83,1092,739,41.61,2102
Windows with SQL Standard,Asia Pacific (Sydney),c1.xlarge,$0.655 per Hour,356.24,1771,160.6,3624,2675,141.62,7306
Windows,Asia Pacific (Sydney),m1.xlarge,$0.467 per Hour,227.76,1079,101.47,2250,1694,80.3,4309
RHEL,Asia Pacific (Sydney),m1.large,$0.233 per Hour,113.88,539,50.37,1120,847,40.15,2154
RHEL,Asia Pacific (Sydney),m1.xlarge,$0.467 per Hour,227.76,1079,101.47,2250,1694,80.3,4309
SLES,Asia Pacific (Sydney),m1.large,$0.233 per Hour,113.88,539,50.37,1120,847,40.15,2154
Linux,Asia Pacific (Sydney),m1.xlarge,$0.467 per Hour,227.76,1079,101.47,2250,1694,80.3,4309
Windows,Asia Pacific (Sydney),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
Windows with SQL Standard,Asia Pacific (Sydney),m1.small,$0.058 per Hour,28.47,135,13.14,286,212,10.22,545
RHEL,Asia Pacific (Sydney),m1.small,$0.058 per Hour,28.47,135,13.14,286,212,10.22,545
Windows,Asia Pacific (Sydney),m2.xlarge,$0.296 per Hour,108.04,493,51.83,1092,739,41.61,2102
Windows with SQL Web,Asia Pacific (Sydney),c1.medium,$0.164 per Hour,89.06,443,40.15,906,669,35.77,1839
SLES,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows with SQL Web,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
Windows with SQL Web,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
Windows,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
RHEL,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
Windows with SQL Standard,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
Linux,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
RHEL,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
Windows,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows with SQL Web,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
Windows with SQL Web,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
RHEL,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
Linux,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
SLES,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
Windows,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
RHEL,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows with SQL Web,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
SLES,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
SLES,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
Windows with SQL Web,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
Windows,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
RHEL,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
Windows,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
Windows,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
Windows with SQL Web,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
Linux,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows with SQL Web,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
Linux,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
Windows with SQL Standard,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
Windows with SQL Web,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
RHEL,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
RHEL,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
SLES,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
Windows with SQL Standard,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
Windows with SQL Web,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
Linux,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
Windows,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
RHEL,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
RHEL,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
Windows with SQL Standard,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
Windows with SQL Standard,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
Windows with SQL Standard,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
SLES,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
Windows,Asia Pacific (Tokyo),m2.4xlarge,$1.150 per Hour,440.92,1977,213.16,4444,2921,171.55,8550
SLES,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
Windows with SQL Standard,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
Windows with SQL Standard,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
Linux,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
Windows with SQL Standard,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
Windows with SQL Standard,Asia Pacific (Tokyo),t1.micro,$0.026 per Hour,13.14,62,6.57,138,100,6.57,316
Windows with SQL Web,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
RHEL,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
Linux,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
RHEL,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
RHEL,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
Windows,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
Linux,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
Windows,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
Windows with SQL Web,Asia Pacific (Tokyo),m1.xlarge,$0.486 per Hour,216.08,1076,100.74,2239,1651,81.76,4318
SLES,Asia Pacific (Tokyo),m1.medium,$0.122 per Hour,54.02,270,25.55,565,413,20.44,1079
Windows with SQL Web,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
SLES,Asia Pacific (Tokyo),c1.xlarge,$0.632 per Hour,350.4,1772,170.09,3736,2726,147.46,7552
Linux,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
Linux,Asia Pacific (Tokyo),m1.large,$0.243 per Hour,108.04,538,51.1,1128,826,40.88,2159
Windows with SQL Standard,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
RHEL,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
SLES,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
SLES,Asia Pacific (Tokyo),cc2.8xlarge,$2.349 per Hour,1103.76,5963,446.76,11097,8987,449.68,23664
Windows with SQL Standard,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
Linux,Asia Pacific (Tokyo),m1.small,$0.061 per Hour,27.01,135,12.41,278,207,10.22,540
Windows,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
Linux,Asia Pacific (Tokyo),hi1.4xlarge,$3.276 per Hour,1370.21,7400,554.8,13776,11150,558.45,29378
Windows with SQL Standard,Asia Pacific (Tokyo),m2.xlarge,$0.287 per Hour,110.23,494,53.29,1110,730,43.07,2143
Linux,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
SLES,Asia Pacific (Tokyo),m2.2xlarge,$0.575 per Hour,220.46,989,107.31,2231,1461,86.14,4288
Windows,Asia Pacific (Tokyo),c1.medium,$0.158 per Hour,87.6,443,42.34,932,682,36.5,1876
SLES,Asia Pacific (Tokyo),cr1.8xlarge,$4.105 per Hour,1522.78,8222,616.85,15311,12390,620.5,32644
Windows,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
Windows with SQL Standard,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
RHEL,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
SLES,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
Windows,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
Windows with SQL Web,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
RHEL,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
Linux,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
Windows with SQL Web,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
Windows with SQL Web,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
RHEL,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Linux,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
SLES,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
Windows,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
RHEL,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
RHEL,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
Windows with SQL Web,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
SLES,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Windows,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
Windows with SQL Standard,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
SLES,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
Windows with SQL Web,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
Windows with SQL Standard,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
Linux,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
Windows,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Windows with SQL Web,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
Windows,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
Windows with SQL Standard,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
SLES,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
Linux,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Windows with SQL Web,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
Windows with SQL Standard,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
Windows with SQL Web,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
Linux,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
Windows with SQL Standard,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
RHEL,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
SLES,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
RHEL,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
Windows with SQL Web,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
RHEL,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
RHEL,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
Linux,AWS GovCloud (US),c1.medium,$0.157 per Hour,78.84,447,30.66,760,689,27.74,1538
Linux,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
Windows,AWS GovCloud (US),m1.xlarge,$0.423 per Hour,192.72,1128,67.89,1820,1732,64.24,3698
RHEL,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
Linux,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
Linux,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
Windows with SQL Standard,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Windows with SQL Standard,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
SLES,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
Windows with SQL Web,AWS GovCloud (US),t1.micro,$0.024 per Hour,10.95,62,4.38,104,100,4.38,229
Windows,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
Windows,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
SLES,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
RHEL,AWS GovCloud (US),m2.2xlarge,$0.586 per Hour,198.56,1066,82.49,1907,1603,64.24,3569
SLES,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
Linux,AWS GovCloud (US),c1.xlarge,$0.628 per Hour,315.36,1798,123.37,3056,2754,110.23,6127
Windows with SQL Web,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
Windows with SQL Standard,AWS GovCloud (US),m1.large,$0.211 per Hour,96.36,564,34.31,914,867,32.12,1850
SLES,AWS GovCloud (US),m1.medium,$0.106 per Hour,48.18,283,16.79,454,434,16.06,925
Windows with SQL Standard,AWS GovCloud (US),m1.small,$0.053 per Hour,24.09,142,8.76,231,217,8.03,463
Windows,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
Linux,AWS GovCloud (US),m2.4xlarge,$1.171 per Hour,397.12,2131,164.98,3814,3206,127.75,7115
Windows with SQL Standard,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
Windows,AWS GovCloud (US),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,9542,7670,445.3,21095
SLES,AWS GovCloud (US),m2.xlarge,$0.293 per Hour,99.28,533,40.88,950,802,32.12,1785
RHEL,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
Windows,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
Linux,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
Windows with SQL Web,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
Windows with SQL Web,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows with SQL Standard,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
RHEL,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
Windows with SQL Web,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
SLES,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
Windows with SQL Web,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
Windows,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
RHEL,EU (Ireland),m1.large,$0.190 per Hour,99.28,493,46.72,1032,750,37.23,1964
Windows with SQL Web,EU (Ireland),m1.large,$0.190 per Hour,99.28,493,46.72,1032,750,37.23,1964
Windows with SQL Standard,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
SLES,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
Windows with SQL Standard,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
RHEL,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
Windows with SQL Web,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
Linux,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Linux,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
RHEL,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
Linux,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
Windows,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
Windows with SQL Web,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
Windows,EU (Ireland),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,10136,7670,445.3,22278
SLES,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Windows with SQL Web,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
Windows with SQL Standard,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
SLES,EU (Ireland),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,10136,7670,445.3,22278
Windows with SQL Standard,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
RHEL,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
Windows,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
SLES,EU (Ireland),m1.large,$0.190 per Hour,99.28,493,46.72,1032,750,37.23,1964
Windows,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
Linux,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
Windows with SQL Web,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
SLES,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows with SQL Standard,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
Windows with SQL Web,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
RHEL,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows with SQL Standard,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Windows with SQL Standard,EU (Ireland),m1.large,$0.190 per Hour,99.28,493,46.72,1032,750,37.23,1964
RHEL,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
RHEL,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
Windows,EU (Ireland),m1.large,$0.190 per Hour,99.28,493,46.72,1032,750,37.23,1964
Linux,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
Windows,EU (Ireland),hi1.4xlarge,$3.100 per Hour,1239.54,7280,453.33,12465,10960,351.86,22209
Windows,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
Windows with SQL Standard,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
SLES,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
Windows with SQL Standard,EU (Ireland),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,10136,7670,445.3,22278
Linux,EU (Ireland),m1.xlarge,$0.379 per Hour,198.56,987,92.71,2057,1501,74.46,3930
Linux,EU (Ireland),t1.micro,$0.020 per Hour,11.68,62,5.84,129,100,5.84,291
RHEL,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
Windows,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
Linux,EU (Ireland),hi1.4xlarge,$3.100 per Hour,1239.54,7280,453.33,12465,10960,351.86,22209
SLES,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
RHEL,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Windows with SQL Web,EU (Ireland),hi1.4xlarge,$3.100 per Hour,1239.54,7280,453.33,12465,10960,351.86,22209
Windows with SQL Standard,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
SLES,EU (Ireland),c1.xlarge,$0.592 per Hour,324.12,1620,149.65,3347,2524,128.48,6720
RHEL,EU (Ireland),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,10136,7670,445.3,22278
Linux,EU (Ireland),m1.medium,$0.095 per Hour,49.64,247,23.36,516,375,18.98,994
Windows with SQL Web,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Windows,EU (Ireland),m1.small,$0.047 per Hour,24.82,123,11.68,257,188,9.49,497
Windows with SQL Web,EU (Ireland),cc2.8xlarge,$2.250 per Hour,1008.13,5000,445.3,10136,7670,445.3,22278
SLES,EU (Ireland),m2.4xlarge,$1.100 per Hour,391.28,1894,178.85,3959,2875,145.27,7618
Windows with SQL Standard,EU (Ireland),cr1.8xlarge,$3.750 per Hour,1337.36,7220,541.66,13445,10880,544.58,28655
Linux,EU (Ireland),m2.2xlarge,$0.550 per Hour,195.64,947,89.06,1975,1438,73,3822
SLES,EU (Ireland),m2.xlarge,$0.275 per Hour,97.82,473,44.53,987,719,36.5,1911
SLES,EU (Ireland),c1.medium,$0.148 per Hour,81.03,405,37.23,834,631,32.12,1680
